,Title,Type,Country,Release Year,Rating,Duration,Vote Average
0,Niaye,MOVIE,['FR',1964,Unknown,35,10.0
1,Niaye,MOVIE, 'SN'],1964,Unknown,35,10.0
2,Euphoria: Trouble Don't Last Always,MOVIE,['US'],2020,R,57,10.0
3,Manic,MOVIE,[],2017,Unknown,18,10.0
4,Legendary Nights: The Tale of Gatti-Ward,MOVIE,['US'],2013,Unknown,77,10.0
5,¡Viva Maestro!,MOVIE,['US'],2022,Unknown,99,10.0
6,American Revolution 2,MOVIE,['US'],1969,Unknown,76,10.0
7,Euphoria: F*ck Anyone Who’s Not A Sea Blob,MOVIE,['US'],2021,R,55,10.0
8,Lord of the Rings: Return of the King (Extended Edition),MOVIE,['US'],2003,PG-13,263,10.0
9,Goodnight Moon & Other Sleepytime Tales,MOVIE,['US'],1999,Unknown,27,10.0
10,Mike Mulligan and His Steam Shovel,MOVIE,['US'],1990,Unknown,25,10.0
11,Reign of the Superwomen,MOVIE,['FR'],2021,Unknown,82,10.0
12,Section 60: Arlington National Cemetery,MOVIE,['US'],2008,Unknown,54,10.0
13,A Storybook Ending,MOVIE,['GB',2020,Unknown,18,10.0
14,A Storybook Ending,MOVIE, 'CA'],2020,Unknown,18,10.0
15,Shakira in Concert: El Dorado World Tour,MOVIE,['US'],2019,Unknown,122,10.0
16,Habla Women,MOVIE,['US'],2013,PG,56,9.5
17,Havana Street Party Presents: Beatriz Luengo,MOVIE,['US'],2021,Unknown,47,9.0
18,I Have Tourette's But Tourette's Doesn't Have Me,MOVIE,['US'],2005,Unknown,27,9.0
19,South ParQ: Vaccination Special,MOVIE,['US'],2021,R,47,9.0
20,The Lord of the Rings: The Two Towers (Extended Edition),MOVIE,['US'],2002,PG-13,235,9.0
21,The Forever Prisoner,MOVIE,['US'],2021,R,119,9.0
22,First,MOVIE,['GB'],2012,Unknown,109,9.0
23,3 Days of Terror: The Charlie Hebdo Attacks,MOVIE,['FR'],2016,Unknown,59,8.9
24,The Shawshank Redemption,MOVIE,['US'],1994,R,143,8.702
25,Requiem for the Dead: American Spring 2014,MOVIE,['US'],2015,Unknown,67,8.7
26,Dọlápọ̀ Is Fine,MOVIE,['GB'],2020,Unknown,15,8.7
27,Spirited Away,MOVIE,['JP'],2001,PG,125,8.541
28,The Dark Knight,MOVIE,['GB',2008,PG-13,152,8.508
29,The Dark Knight,MOVIE, 'US'],2008,PG-13,152,8.508
30,When the Sun Sets,MOVIE,['ZA'],2021,Unknown,14,8.5
31,The Lord of the Rings: The Return of the King,MOVIE,['NZ',2003,PG-13,201,8.474
32,The Lord of the Rings: The Return of the King,MOVIE, 'US'],2003,PG-13,201,8.474
33,GoodFellas,MOVIE,['US'],1990,R,145,8.465
34,Seven Samurai,MOVIE,['JP'],1954,Unknown,207,8.458
35,Tig Notaro: Drawn,MOVIE,['US'],2021,Unknown,52,8.444
36,The Fresh Prince of Bel-Air Reunion,MOVIE,['US'],2020,Unknown,75,8.435
37,One Flew Over the Cuckoo's Nest,MOVIE,['US'],1975,R,133,8.423
38,Howl's Moving Castle,MOVIE,['JP'],2004,PG,119,8.401
39,Juice WRLD: Into the Abyss,MOVIE,['US'],2021,Unknown,110,8.4
40,Se7en,MOVIE,['US'],1995,R,127,8.4
41,Under The Grapefruit Tree: The CC Sabathia Story,MOVIE,['US'],2020,Unknown,67,8.4
42,Life of Crime: 1984-2020,MOVIE,['US'],2021,Unknown,121,8.4
43,The Lord of the Rings: The Fellowship of the Ring,MOVIE,['NZ',2001,PG-13,178,8.394
44,The Lord of the Rings: The Fellowship of the Ring,MOVIE, 'US'],2001,PG-13,178,8.394
45,The Lord of the Rings: The Two Towers,MOVIE,['NZ',2002,PG-13,179,8.375
46,The Lord of the Rings: The Two Towers,MOVIE, 'US'],2002,PG-13,179,8.375
47,The Great Dictator,MOVIE,['US'],1940,Unknown,125,8.35
48,Ikiru,MOVIE,['JP'],1952,Unknown,143,8.35
