,Title,Type,Country,Release Year,Rating,Seasons,Vote Average
0,Tom and Jerry,SHOW,['US'],1940,Unknown,16.0,10.0
1,Crashbox,SHOW,['CA',1999,TV-Y7,2.0,10.0
2,Crashbox,SHOW, 'US'],1999,TV-Y7,2.0,10.0
3,Category 7: The End of the World,SHOW,['RU'],2005,TV-PG,1.0,10.0
4,Classical Baby,SHOW,['US'],2005,TV-Y,1.0,10.0
5,Dios Inc.,SHOW,['MX'],2016,Unknown,1.0,10.0
6,Talk Show the Game Show,SHOW,['US'],2017,TV-14,2.0,10.0
7,Autopsy,SHOW,['US'],1994,TV-MA,2.0,10.0
8,The Retro Plant Shop with Mikey and Jo,SHOW,['US'],2022,Unknown,1.0,10.0
9,Restoration Road With Clint Harp,SHOW,['US'],2021,Unknown,3.0,10.0
10,Batman: The Audio Adventures,SHOW,['US'],2021,TV-14,1.0,9.5
11,The World Between Us,SHOW,['TW'],2019,Unknown,1.0,9.022
12,Beach Cottage Chronicles,SHOW,['US'],2022,Unknown,1.0,9.0
13,Looney Tunes,SHOW,[],1929,Unknown,17.0,9.0
14,The Last of Us,SHOW,['US'],2023,TV-MA,1.0,8.798
15,Rick and Morty,SHOW,['US'],2013,TV-MA,6.0,8.729
16,Frayed,SHOW,['AU',2019,TV-MA,2.0,8.727
17,Frayed,SHOW, 'GB'],2019,TV-MA,2.0,8.727
18,Trinity of Shadows,SHOW,['TW'],2021,Unknown,1.0,8.7
19,Regular Show,SHOW,['US'],2010,TV-PG,8.0,8.691
20,Conan Without Borders,SHOW,[],2015,TV-MA,1.0,8.667
21,Primal,SHOW,['US'],2019,TV-14,2.0,8.66
22,Selena + Chef,SHOW,['US'],2020,TV-PG,4.0,8.643
23,Dr. Stone,SHOW,['JP'],2019,TV-14,3.0,8.64
24,Tokyo Revengers,SHOW,['JP'],2021,TV-14,2.0,8.603
25,The Sopranos,SHOW,['US'],1999,TV-MA,6.0,8.603
26,Axios,SHOW,['US'],2018,TV-14,4.0,8.6
27,Xavier: Renegade Angel,SHOW,['US'],2007,TV-MA,2.0,8.6
28,Chernobyl,SHOW,['US'],2019,TV-MA,1.0,8.6
29,Noblesse,SHOW,['JP'],2020,TV-MA,1.0,8.575
30,The Amazing World of Gumball,SHOW,['US'],2011,TV-Y7,6.0,8.544
31,Over the Garden Wall,SHOW,['US'],2014,TV-PG,1.0,8.504
32,The Wire,SHOW,['US'],2002,TV-MA,5.0,8.501
33,Arthur's Law,SHOW,['DE'],2018,Unknown,2.0,8.5
34,Eyes on the Prize,SHOW,['US'],1987,TV-PG,2.0,8.5
35,House of the Dragon,SHOW,['US'],2022,TV-MA,2.0,8.5
36,Wyatt Cenac's Problem Areas,SHOW,['US'],2018,TV-MA,2.0,8.5
37,Batman: The Animated Series,SHOW,['US'],1992,TV-Y7-FV,4.0,8.489
38,Steven Universe,SHOW,['US'],2013,TV-PG,6.0,8.468
39,Young Justice,SHOW,['US'],2010,TV-14,4.0,8.461
40,Tsukimichi -Moonlit Fantasy-,SHOW,['JP'],2021,TV-14,1.0,8.461
41,Friends,SHOW,['US'],1994,TV-14,10.0,8.456
42,Samurai Jack,SHOW,['US'],2001,TV-14,5.0,8.454
43,Band of Brothers,SHOW,['US'],2001,TV-MA,1.0,8.454
44,Adventure Time,SHOW,['US'],2010,TV-PG,10.0,8.453
45,Harley Quinn,SHOW,['US'],2019,TV-MA,4.0,8.437
46,Shadows,SHOW,['RO'],2014,TV-MA,3.0,8.424
47,Veneno,SHOW,['ES'],2020,TV-MA,1.0,8.412
48,"Be Cool, Scooby-Doo!",SHOW,['US'],2015,TV-Y7,2.0,8.406
49,Game of Thrones,SHOW,['US'],2011,TV-MA,8.0,8.4
50,Batwheels,SHOW,['US'],2022,TV-Y7,2.0,8.4
51,Craig of the Creek,SHOW,['US'],2018,Unknown,4.0,8.4
52,Joe Pera Talks With You,SHOW,['US'],2018,TV-14,3.0,8.4
53,The Mentalist,SHOW,['US'],2008,TV-14,7.0,8.393
54,My Brilliant Friend,SHOW,['US',2018,TV-MA,3.0,8.388
55,My Brilliant Friend,SHOW, 'IT'],2018,TV-MA,3.0,8.388
56,Euphoria,SHOW,['US'],2019,TV-MA,2.0,8.386
57,Gossip Girl,SHOW,['US'],2007,TV-14,6.0,8.346
58,Gossip Girl,SHOW,['US'],2021,TV-MA,2.0,7.573
59,The Vampire Diaries,SHOW,['US'],2009,TV-14,8.0,8.344
60,Peacemaker,SHOW,['US'],2022,TV-MA,1.0,8.343
61,South Park,SHOW,['US'],1997,TV-MA,26.0,8.34
62,Prodigal Son,SHOW,['US'],2019,TV-14,2.0,8.319
63,Ben 10: Alien Force,SHOW,['US'],2008,TV-Y7,3.0,8.318
64,Joint Venture,SHOW,['BR'],2019,TV-MA,2.0,8.308
65,From the Earth to the Moon,SHOW,['US'],1998,TV-PG,1.0,8.3
66,South Side,SHOW,['US'],2019,TV-MA,3.0,8.3
67,Living Single,SHOW,['US'],1993,TV-14,5.0,8.3
68,Teen Titans,SHOW,['US'],2003,TV-Y7,5.0,8.3
69,Justice League Unlimited,SHOW,['US'],2004,TV-Y7,3.0,8.296
70,The West Wing,SHOW,['US'],1999,TV-14,7.0,8.292
71,True Detective,SHOW,['US'],2014,TV-MA,4.0,8.289
72,Katy Keene,SHOW,['US'],2020,TV-14,1.0,8.287
73,Rome,SHOW,['US'],2005,TV-MA,2.0,8.28
74,Chowder,SHOW,['US'],2007,TV-Y7,4.0,8.279
75,Mare of Easttown,SHOW,['US'],2021,TV-MA,1.0,8.268
76,"The Way Down: God, Greed, and the Cult of Gwen Shamblin",SHOW,['US'],2021,TV-MA,2.0,8.25
77,Capadocia,SHOW,['MX'],2008,TV-MA,3.0,8.244
78,To Your Eternity,SHOW,['JP'],2021,TV-MA,2.0,8.244
79,Scooby-Doo! Mystery Incorporated,SHOW,['US'],2010,TV-PG,4.0,8.218
80,Tacoma FD,SHOW,['US'],2019,TV-14,3.0,8.216
81,Codename: Kids Next Door,SHOW,['US'],2002,TV-Y7,6.0,8.204
82,Ben 10: Omniverse,SHOW,['US'],2012,TV-Y7,8.0,8.202
83,The Shop: Uninterrupted,SHOW,['US'],2018,TV-PG,5.0,8.2
84,Bob Hearts Abishola,SHOW,['US'],2019,TV-PG,5.0,8.2
85,Nuclear Family,SHOW,['US'],2016,TV-MA,1.0,8.2
86,Property Brothers: Forever Home,SHOW,['US'],2019,TV-G,7.0,8.2
87,Las Bravas F.C.,SHOW,['MX'],2022,TV-MA,1.0,8.2
88,Ben 10: Ultimate Alien,SHOW,['US'],2010,TV-Y7,3.0,8.2
89,Succession,SHOW,['US'],2018,TV-MA,4.0,8.2
90,Painting With John,SHOW,['US'],2021,TV-MA,2.0,8.2
91,Mr. Pickles,SHOW,['US'],2014,TV-MA,4.0,8.2
92,How To with John Wilson,SHOW,['US'],2020,TV-MA,2.0,8.2
93,Steven Universe Future,SHOW,['US'],2019,TV-PG,1.0,8.181
94,Courage the Cowardly Dog,SHOW,['US'],1999,TV-Y7,4.0,8.169
95,Batman Beyond,SHOW,['US'],1999,TV-Y7,3.0,8.164
96,"Harvey Birdman, Attorney at Law",SHOW,['US'],2000,TV-14,4.0,8.158
97,Ben 10,SHOW,['US'],2005,TV-Y7,4.0,8.144
98,Ben 10,SHOW,['US'],2016,TV-Y7,5.0,6.259
99,The Newsroom,SHOW,['US'],2012,TV-MA,3.0,8.131
100,Valley of Tears,SHOW,['IL'],2020,Unknown,1.0,8.13
101,Silicon Valley,SHOW,['US'],2014,TV-MA,6.0,8.129
102,Fringe,SHOW,['US'],2008,TV-14,5.0,8.107
103,Space Ghost Coast to Coast,SHOW,['US'],1994,TV-PG,12.0,8.106
104,Superman & Lois,SHOW,['US'],2021,TV-14,3.0,8.103
105,The Nanny,SHOW,['US'],1993,TV-PG,6.0,8.1
106,Young Sheldon,SHOW,['US'],2017,TV-PG,6.0,8.1
107,Impractical Jokers: Inside Jokes,SHOW,['US'],2016,TV-14,1.0,8.1
108,Deadwood,SHOW,['US'],2004,TV-MA,3.0,8.1
109,Sr. Ávila,SHOW,['MX'],2013,TV-MA,4.0,8.1
110,Six Feet Under,SHOW,['US'],2001,TV-MA,5.0,8.1
111,Nathan For You,SHOW,['US'],2013,TV-14,4.0,8.1
112,Justice League,SHOW,['US'],2001,TV-PG,2.0,8.094
113,Curb Your Enthusiasm,SHOW,['US'],2000,TV-MA,11.0,8.09
114,Gomorrah,SHOW,['IT'],2014,TV-MA,5.0,8.09
115,The Marvelous Misadventures of Flapjack,SHOW,['US'],2008,TV-Y7,3.0,8.086
116,The Rehearsal,SHOW,['US'],2022,TV-MA,1.0,8.076
117,The Crime of the Century,SHOW,['US'],2021,TV-MA,1.0,8.067
118,Oz,SHOW,['US'],1997,TV-MA,6.0,8.063
119,Static Shock,SHOW,['US'],2000,TV-Y7,4.0,8.058
120,The Boondocks,SHOW,['US'],2005,TV-MA,4.0,8.058
121,The Grim Adventures of Billy and Mandy,SHOW,['US'],2001,TV-Y7,7.0,8.053
122,We Are Who We Are,SHOW,['US'],2020,TV-MA,1.0,8.043
123,Ghosts,SHOW,['GB'],2019,TV-14,4.0,8.03
124,Titans,SHOW,['US'],2018,TV-MA,4.0,8.028
125,Carnivàle,SHOW,['US'],2003,TV-MA,2.0,8.026
126,Pretty Little Liars,SHOW,['US'],2010,TV-14,7.0,8.024
127,The Jinx: The Life and Deaths of Robert Durst,SHOW,['US'],2015,TV-MA,1.0,8.021
128,Smiling Friends,SHOW,['US'],2020,TV-MA,1.0,8.02
129,Treme,SHOW,['US'],2010,TV-MA,4.0,8.011
130,Pennyworth: The Origin of Batman's Butler,SHOW,['US'],2019,TV-MA,3.0,8.004
131,The Alzheimer's Project,SHOW,['US'],2009,TV-PG,1.0,8.0
132,Kindergarten,SHOW,['US'],2001,Unknown,1.0,8.0
133,Sons of Carnaval,SHOW,['BR'],2006,Unknown,2.0,8.0
134,Boardwalk Empire,SHOW,['US'],2010,TV-MA,5.0,8.0
135,On the Job,SHOW,['PH'],2021,Unknown,1.0,8.0
136,Gentleman Jack,SHOW,['US'],2019,TV-MA,2.0,8.0
137,Fixer Upper: Welcome Home,SHOW,['US'],2021,TV-G,1.0,8.0
138,Long Live the Royals,SHOW,['US'],2015,TV-PG,1.0,8.0
139,Winning Time: The Rise of the Lakers Dynasty,SHOW,['US'],2022,TV-MA,2.0,8.0
140,Impractical Jokers: After Party,SHOW,['US'],2017,TV-14,4.0,8.0
141,On the Spectrum,SHOW,['IL'],2018,TV-MA,1.0,8.0
142,The Looney Tunes Show,SHOW,['US'],2011,TV-PG,2.0,8.0
143,Magnifica 70,SHOW,['BR'],2015,Unknown,3.0,8.0
144,Moral Orel,SHOW,['US'],2005,TV-MA,4.0,8.0
145,Hot Streets,SHOW,['US'],2018,TV-MA,2.0,8.0
146,The Fresh Prince of Bel-Air,SHOW,['US'],1990,TV-PG,6.0,8.0
147,Miss S,SHOW,['CN'],2020,Unknown,1.0,8.0
148,Chappelle's Show,SHOW,['US'],2003,TV-14,3.0,8.0
149,His Dark Materials,SHOW,['GB'],2019,TV-14,3.0,7.993
150,Scooby-Doo and Guess Who?,SHOW,['US'],2019,TV-PG,3.0,7.992
151,Pretty Little Liars: Original Sin,SHOW,['US'],2022,TV-MA,1.0,7.991
152,Adventure Time: Distant Lands,SHOW,['US'],2020,TV-PG,1.0,7.978
153,It's a Sin,SHOW,['GB'],2021,TV-MA,1.0,7.977
154,Generation Kill,SHOW,['US'],2008,TV-MA,1.0,7.969
155,Warrior,SHOW,['US'],2019,TV-MA,2.0,7.961
156,Banshee,SHOW,['US'],2013,TV-MA,4.0,7.953
157,Nancy Drew,SHOW,['US'],2019,TV-14,4.0,7.946
158,Tokyo Vice,SHOW,['US'],2022,TV-MA,1.0,7.942
159,Rizzoli & Isles,SHOW,['US'],2010,TV-14,7.0,7.932
160,The Night Of,SHOW,['US'],2016,TV-MA,1.0,7.925
161,Last Week Tonight with John Oliver,SHOW,['US'],2014,TV-MA,10.0,7.924
162,The Knick,SHOW,['US'],2014,TV-MA,2.0,7.923
163,Off the Air,SHOW,['US'],2011,TV-MA,12.0,7.917
164,Pushing Daisies,SHOW,['US'],2007,TV-PG,2.0,7.91
165,Spawn,SHOW,['US'],1997,TV-MA,3.0,7.9
166,Big Little Lies,SHOW,['US'],2017,TV-MA,2.0,7.9
167,Hank Zipzer,SHOW,['GB'],2014,Unknown,3.0,7.9
168,The Closer,SHOW,['US'],2005,TV-MA,7.0,7.9
169,Rap Battlefield,SHOW,['AR'],2021,Unknown,1.0,7.9
170,Step by Step,SHOW,['US'],1991,TV-G,7.0,7.9
171,Who Killed Garrett Phillips?,SHOW,['US'],2019,TV-MA,1.0,7.9
172,"Ed, Edd n Eddy",SHOW,['CA',1999,TV-Y7,6.0,7.9
173,"Ed, Edd n Eddy",SHOW, 'US'],1999,TV-Y7,6.0,7.9
174,The Life & Times of Tim,SHOW,['US'],2008,TV-MA,3.0,7.9
175,Watchmen: Motion Comic,SHOW,['US'],2008,TV-14,1.0,7.9
176,The Gilded Age,SHOW,['US'],2022,TV-MA,1.0,7.9
177,Check It Out! with Dr. Steve Brule,SHOW,['US'],2010,TV-14,4.0,7.9
178,Martin,SHOW,['US'],1992,TV-14,6.0,7.887
179,Foster's Home for Imaginary Friends,SHOW,['US'],2004,TV-Y7,6.0,7.887
180,"What's New, Scooby-Doo?",SHOW,['US'],2002,TV-Y7,3.0,7.885
181,El Negocio (The Business),SHOW,['BR'],2013,TV-MA,4.0,7.877
182,The Big Bang Theory,SHOW,['US'],2007,TV-14,12.0,7.874
183,The Cleaning Lady,SHOW,['US'],2022,TV-14,2.0,7.873
184,Impractical Jokers,SHOW,['US'],2011,TV-14,10.0,7.865
185,ER,SHOW,['US'],1994,TV-14,15.0,7.859
186,Our Flag Means Death,SHOW,['US'],2022,TV-MA,2.0,7.858
187,Flight of the Conchords,SHOW,['US'],2007,TV-MA,2.0,7.849
188,The Batman,SHOW,['US'],2004,TV-Y7,5.0,7.848
189,Barry,SHOW,['US'],2018,TV-MA,3.0,7.845
190,"Scooby-Doo, Where Are You!",SHOW,['US'],1969,TV-G,3.0,7.839
191,One Tree Hill,SHOW,['US'],2003,TV-14,9.0,7.827
192,DC's Stargirl,SHOW,['US'],2020,TV-14,3.0,7.823
193,The O.C.,SHOW,['US'],2003,TV-14,4.0,7.817
194,John Adams,SHOW,['US'],2008,TV-14,1.0,7.806
