,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
0,AK vs AK,Movie,India,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",2020,TV-MA,109 min,10.0
1,Talaash,Movie,India,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",2012,TV-14,140 min,10.0
2,Fatherhood,Movie,United States,Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",2021,PG-13,111 min,10.0
3,Janaan,Movie,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016,TV-14,132 min,10.0
4,Much Ado About Nothing,Movie,Chile,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos",2016,TV-MA,96 min,10.0
5,Much Ado About Nothing,Movie, United States,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos",2016,TV-MA,96 min,10.0
6,Much Ado About Nothing,Movie, France,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos",2016,TV-MA,96 min,10.0
7,Deadly Switch,Movie,United States,Svetlana Cvetko,"Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce",2019,TV-PG,86 min,10.0
8,Mo Gilligan: Momentum,Movie,United Kingdom,Chris Howe,Mo Gilligan,2019,TV-MA,64 min,10.0
9,Crocodile Dundee in Los Angeles,Movie,Australia,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",2001,PG,95 min,10.0
10,Crocodile Dundee in Los Angeles,Movie, United States,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",2001,PG,95 min,10.0
11,The Wedding Shaman,Movie,nan,Farishad I. Latjuba,"Atiqah Hasiholan, Tutie Kirana, Arifin Putra, Tio Pakusadewo, Marthino Lio, Oxcel, Dodit Mulyanto",2019,TV-PG,111 min,10.0
12,The Impossible,Movie,Spain,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",2012,PG-13,114 min,10.0
13,The Impossible,Movie, Thailand,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",2012,PG-13,114 min,10.0
14,The Impossible,Movie, United States,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",2012,PG-13,114 min,10.0
15,His House,Movie,United Kingdom,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",2020,TV-14,93 min,10.0
16,The Next Karate Kid,Movie,United States,Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins",1994,PG,107 min,10.0
17,Cats & Dogs: The Revenge of Kitty Galore,Movie,United States,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",2010,PG,82 min,10.0
18,Cats & Dogs: The Revenge of Kitty Galore,Movie, Australia,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",2010,PG,82 min,10.0
