,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
0,Levius,TV Show,Japan,Unknown,"Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano",2019,TV-14,1 Season,10.0
1,Fear Files... Har Mod Pe Darr,TV Show,India,Unknown,Unknown,2015,TV-MA,1 Season,10.0
2,Hemlock Grove,TV Show,United States,Eli Roth,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer",2015,TV-MA,3 Seasons,10.0
3,True: Magical Friends,TV Show,Unknown,Unknown,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",2018,TV-Y,1 Season,9.3
4,Silvana Sin Lana,TV Show,United States,Unknown,"Maritza Rodríguez, Carlos Ponce, Marimar Vega, Adriana Barraza, Marcela Guirado, Ricardo Abarca, Thali García, Alexandra Pomales, Briggitte Bozzo, Santiago Torres, Patricio Gallardo, Roberto Escobar, Samantha Dagnino, Raury Rolander, Vince Miranda, Javier Valcárcel",2016,TV-14,1 Season,9.1
5,The Trial,TV Show,Italy,Stefano Lodovichi,"Vittoria Puccini, Francesco Scianna, Camilla Filippi, Simone Colombari, Maurizio Lastrico, Alessandro Averone, Euridice Axen, Marco Baliani, Pia Lanciotti, Giordano De Plano, Roberto Herlitzka, Tommaso Ragno, Margherita Caviezel, Michele Morrone",2019,TV-MA,1 Season,9.0
6,Terrace House: Opening New Doors,TV Show,Japan,Unknown,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",2018,TV-14,6 Seasons,9.0
7,What Is Love?,TV Show,Taiwan,Unknown,"Chris Wu, Jade Chou, Duncan Lai, King Chin, Kimi Hsia, Gina Lim",2012,TV-14,1 Season,9.0
8,Sweet Tooth,TV Show,United States,Unknown,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",2021,TV-14,1 Season,8.9
9,Daybreak,TV Show,United States,Unknown,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick",2019,TV-MA,1 Season,8.8
10,Pandemic: How to Prevent an Outbreak,TV Show,United States,Unknown,Unknown,2020,TV-14,1 Season,8.7
11,Persona,TV Show,South Korea,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won",2019,TV-MA,1 Season,8.682
12,Warrior Nun,TV Show,United States,Unknown,"Alba Baptista, Toya Turner, Lorena Andrea, Kristina Tonteri-Young, Tristán Ulloa",2020,TV-MA,1 Season,8.658
13,PJ Masks,TV Show,France,Unknown,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",2019,TV-Y,3 Seasons,8.644
14,PJ Masks,TV Show, United Kingdom,Unknown,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",2019,TV-Y,3 Seasons,8.644
15,Grand Army,TV Show,United States,Unknown,"Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson, Amalia Yoo, Alphonso Romero Jones II, Thelonius Serrell-Freed, Anthony Ippolito, Brian Altemus",2020,TV-MA,1 Season,8.63
16,Love (ft. Marriage and Divorce),TV Show,South Korea,Unknown,"Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun",2021,TV-14,2 Seasons,8.628
17,MONKART,TV Show,Unknown,Unknown,"Kim Jae-ha, Kwon Ji-hye, Lee Bo-hee, Um Sang-hyun, Jung Yoon-jung, Kim Bo-min, Hong So-young, Hong Bum-ki, Ahn Jang-hyuk",2017,TV-Y7,1 Season,8.625
18,Billy on the Street,TV Show,United States,Unknown,Billy Eichner,2016,TV-14,4 Seasons,8.625
19,El Chavo,TV Show,Mexico,Unknown,"Roberto Gómez Bolaños, María Antonieta de las Nieves, Carlos Villagrán, Florinda Meza García, Angelines Fernández Abad, Rubén Aguirre Fuentes, Edgar Vivar, Ramón Gómez Valdez de Castillo",1979,TV-PG,1 Season,8.624
20,The Unsettling,TV Show,United States,Unknown,"Holly Taylor, Tequan Richmond, Willow Shields, An-Li Bogan, Noah Grismer, Alex Lange, David Clayton Rogers, Marguerite Moreau",2019,TV-14,1 Season,8.6
21,Magic for Humans,TV Show,United States,Unknown,Justin Willman,2020,TV-14,3 Seasons,8.6
22,Rilakkuma and Kaoru,TV Show,Japan,Unknown,"Mikako Tabe, Soki Matsumoto, Takayuki Yamada, Mai Kanazawa, Shigeru Sugimoto, Issei Takubo, Kanako Nishiyama, Yuzuha Kobayashi, Masako Matsuno, Kana Odaira, Hitoshi Honma, Ayano Kinashi",2019,TV-PG,1 Season,8.6
23,Rilakkuma and Kaoru,TV Show, United States,Unknown,"Mikako Tabe, Soki Matsumoto, Takayuki Yamada, Mai Kanazawa, Shigeru Sugimoto, Issei Takubo, Kanako Nishiyama, Yuzuha Kobayashi, Masako Matsuno, Kana Odaira, Hitoshi Honma, Ayano Kinashi",2019,TV-PG,1 Season,8.6
24,Dérè: An African Tale,TV Show,Unknown,Unknown,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",2016,TV-PG,1 Season,8.6
25,Hotel Beau Séjour,TV Show,Belgium,Unknown,"Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens, Johan van Assche, Katrin Lohmann, Mieke De Groote, Roel Vanderstukken, Joren Seldeslachts, Joke Emmers, Charlotte Timmers, Guus Bullen, Tiny Bertels, Reinhilde Decleir, Barbara Sarafian",2017,TV-14,1 Season,8.599
26,DreamWorks Kung Fu Panda Awesome Secrets,TV Show,United States,Unknown,"Jack Black, Dustin Hoffman, Dennis Haysbert, Paul Scheer, Randall Duk Kim, David Cross, Jessica DiCicco, Jaycee Chan, Angelina Jolie, Seth Rogen, Tony Leondis",2008,TV-PG,1 Season,8.586
27,Buried by the Bernards,TV Show,United States,Unknown,Unknown,2021,TV-14,1 Season,8.576
28,The Lady in Dignity,TV Show,South Korea,Unknown,"Hee-seon Kim, Seon-a Kim, Sang-hun Jeong, Tae-im Lee, Ki-woo Lee",2017,TV-MA,1 Season,8.572
29,Power Rangers Zeo,TV Show,United States,Unknown,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan",1996,TV-Y7,1 Season,8.567
30,Power Rangers Zeo,TV Show, France,Unknown,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan",1996,TV-Y7,1 Season,8.567
31,Power Rangers Zeo,TV Show, Japan,Unknown,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan",1996,TV-Y7,1 Season,8.567
32,Hunter X Hunter (2011),TV Show,Japan,Unknown,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",2014,TV-14,6 Seasons,8.552
33,Centaurworld,TV Show,Unknown,Unknown,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",2021,TV-Y7,1 Season,8.552
34,On Children,TV Show,Taiwan,Unknown,"Chuan-Chen Yeh, Chung Hsin-ling, Frances Wu, Chiung-Hsuan Hsieh, Su-Yun Ko, Ivy Yin, Gingle Wang, Hsiu-Fu Liu, Tzu-Chuan Liu, Yu-Xuan Wang",2018,TV-14,1 Season,8.548
