,Title,Type,Cast,Release Year,Date Added,Rating,Duration,Genre,Vote Average
0,Disney Roll It Back (Shorts),TV Show,"Ramon Reed, Kaylin Hayman, Suzi Barrett, Tobie Windham, JC Currais",2019,"February 26, 2021",TV-Y7,1 Season,Comedy,10.0
1,Disney Roll It Back (Shorts),TV Show,"Ramon Reed, Kaylin Hayman, Suzi Barrett, Tobie Windham, JC Currais",2019,"February 26, 2021",TV-Y7,1 Season, Docuseries,10.0
2,Disney Roll It Back (Shorts),TV Show,"Ramon Reed, Kaylin Hayman, Suzi Barrett, Tobie Windham, JC Currais",2019,"February 26, 2021",TV-Y7,1 Season, Family,10.0
3,When Sharks Attack,TV Show,Eric Meyers,2013,"July 9, 2021",TV-14,7 Seasons,Reality,10.0
4,Disney Junior Music Lullabies,TV Show,Unknown,2018,"July 17, 2020",TV-Y,1 Season,Animation,10.0
5,Disney Junior Music Lullabies,TV Show,Unknown,2018,"July 17, 2020",TV-Y,1 Season, Kids,10.0
6,Disney Junior Music Lullabies,TV Show,Unknown,2018,"July 17, 2020",TV-Y,1 Season, Music,10.0
7,Disney Junior T.O.T.S.,TV Show,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",2018,"July 28, 2021",TV-Y,2 Seasons,Animation,10.0
8,Disney Junior T.O.T.S.,TV Show,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",2018,"July 28, 2021",TV-Y,2 Seasons, Buddy,10.0
9,Disney Junior T.O.T.S.,TV Show,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",2018,"July 28, 2021",TV-Y,2 Seasons, Kids,10.0
10,Ancient China from Above,TV Show,Dr. Allan Maca,2020,"September 18, 2020",TV-14,1 Season,Docuseries,10.0
11,Ancient China from Above,TV Show,Dr. Allan Maca,2020,"September 18, 2020",TV-14,1 Season, Historical,10.0
12,Wild Central America,TV Show,Nigel Marven,2020,"September 25, 2020",TV-PG,1 Season,Action-Adventure,10.0
13,Wild Central America,TV Show,Nigel Marven,2020,"September 25, 2020",TV-PG,1 Season, Animals & Nature,10.0
14,Wild Central America,TV Show,Nigel Marven,2020,"September 25, 2020",TV-PG,1 Season, Docuseries,10.0
15,Bug Juice: My Adventures at Camp,TV Show,Unknown,2017,"November 12, 2019",TV-G,1 Season,Coming of Age,10.0
16,Bug Juice: My Adventures at Camp,TV Show,Unknown,2017,"November 12, 2019",TV-G,1 Season, Docuseries,10.0
17,Bug Juice: My Adventures at Camp,TV Show,Unknown,2017,"November 12, 2019",TV-G,1 Season, Family,10.0
18,Disney Fam Jam,TV Show,"Phil Wright, Ariel Martin, Trevor Tordjman",2020,"January 8, 2021",TV-G,1 Season,Family,10.0
19,Disney Fam Jam,TV Show,"Phil Wright, Ariel Martin, Trevor Tordjman",2020,"January 8, 2021",TV-G,1 Season, Game Show / Competition,10.0
20,Disney Fam Jam,TV Show,"Phil Wright, Ariel Martin, Trevor Tordjman",2020,"January 8, 2021",TV-G,1 Season, Reality,10.0
21,Secrets of the Zoo: Tampa,TV Show,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",2019,"November 24, 2021",TV-PG,2 Seasons,Animals & Nature,9.6
