,Title,Type,Release Year,Rating,Duration,Genres,Vote Average
0,Niaye,MOVIE,1964,Unknown,35,['drama'],10.0
1,Euphoria: Trouble Don't Last Always,MOVIE,2020,R,57,['drama'],10.0
2,Manic,MOVIE,2017,Unknown,18,['drama'],10.0
3,Legendary Nights: The Tale of Gatti-Ward,MOVIE,2013,Unknown,77,"['history', 'documentation', 'drama']",10.0
4,Legendary Nights: The Tale of Gatti-Ward,MOVIE,2013,Unknown,77,"['history', 'documentation', 'drama']",10.0
5,Legendary Nights: The Tale of Gatti-Ward,MOVIE,2013,Unknown,77,"['history', 'documentation', 'drama']",10.0
6,¡Viva Maestro!,MOVIE,2022,Unknown,99,['documentation'],10.0
7,American Revolution 2,MOVIE,1969,Unknown,76,['documentation'],10.0
8,Euphoria: F*ck Anyone Who’s Not A Sea Blob,MOVIE,2021,R,55,['drama'],10.0
9,Lord of the Rings: Return of the King (Extended Edition),MOVIE,2003,PG-13,263,"['fantasy', 'action']",10.0
10,Lord of the Rings: Return of the King (Extended Edition),MOVIE,2003,PG-13,263,"['fantasy', 'action']",10.0
11,Goodnight Moon & Other Sleepytime Tales,MOVIE,1999,Unknown,27,"['animation', 'family', 'fantasy']",10.0
12,Goodnight Moon & Other Sleepytime Tales,MOVIE,1999,Unknown,27,"['animation', 'family', 'fantasy']",10.0
13,Goodnight Moon & Other Sleepytime Tales,MOVIE,1999,Unknown,27,"['animation', 'family', 'fantasy']",10.0
14,Mike Mulligan and His Steam Shovel,MOVIE,1990,Unknown,25,"['animation', 'family']",10.0
15,Mike Mulligan and His Steam Shovel,MOVIE,1990,Unknown,25,"['animation', 'family']",10.0
16,Reign of the Superwomen,MOVIE,2021,Unknown,82,['documentation'],10.0
17,Section 60: Arlington National Cemetery,MOVIE,2008,Unknown,54,['documentation'],10.0
18,A Storybook Ending,MOVIE,2020,Unknown,18,"['comedy', 'crime']",10.0
19,A Storybook Ending,MOVIE,2020,Unknown,18,"['comedy', 'crime']",10.0
20,Shakira in Concert: El Dorado World Tour,MOVIE,2019,Unknown,122,"['documentation', 'music']",10.0
21,Shakira in Concert: El Dorado World Tour,MOVIE,2019,Unknown,122,"['documentation', 'music']",10.0
22,Habla Women,MOVIE,2013,PG,56,['documentation'],9.5
23,Havana Street Party Presents: Beatriz Luengo,MOVIE,2021,Unknown,47,['music'],9.0
