,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
0,Tom and Jerry,SHOW,1940,Unknown,16.0,"['animation', 'comedy', 'family', 'action']",10.0
1,Tom and Jerry,SHOW,1940,Unknown,16.0,"['animation', 'comedy', 'family', 'action']",10.0
2,Tom and Jerry,SHOW,1940,Unknown,16.0,"['animation', 'comedy', 'family', 'action']",10.0
3,Tom and Jerry,SHOW,1940,Unknown,16.0,"['animation', 'comedy', 'family', 'action']",10.0
4,Crashbox,SHOW,1999,TV-Y7,2.0,"['animation', 'family']",10.0
5,Crashbox,SHOW,1999,TV-Y7,2.0,"['animation', 'family']",10.0
6,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
7,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
8,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
9,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
10,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
11,Category 7: The End of the World,SHOW,2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
12,Classical Baby,SHOW,2005,TV-Y,1.0,[],10.0
13,Dios Inc.,SHOW,2016,Unknown,1.0,['thriller'],10.0
14,Talk Show the Game Show,SHOW,2017,TV-14,2.0,[],10.0
15,Autopsy,SHOW,1994,TV-MA,2.0,['documentation'],10.0
16,The Retro Plant Shop with Mikey and Jo,SHOW,2022,Unknown,1.0,['reality'],10.0
17,Restoration Road With Clint Harp,SHOW,2021,Unknown,3.0,[],10.0
18,Batman: The Audio Adventures,SHOW,2021,TV-14,1.0,"['comedy', 'fantasy', 'action']",9.5
19,Batman: The Audio Adventures,SHOW,2021,TV-14,1.0,"['comedy', 'fantasy', 'action']",9.5
20,Batman: The Audio Adventures,SHOW,2021,TV-14,1.0,"['comedy', 'fantasy', 'action']",9.5
21,The World Between Us,SHOW,2019,Unknown,1.0,"['drama', 'crime']",9.022
22,The World Between Us,SHOW,2019,Unknown,1.0,"['drama', 'crime']",9.022
23,Beach Cottage Chronicles,SHOW,2022,Unknown,1.0,['reality'],9.0
24,Looney Tunes,SHOW,1929,Unknown,17.0,"['comedy', 'family', 'thriller', 'animation']",9.0
25,Looney Tunes,SHOW,1929,Unknown,17.0,"['comedy', 'family', 'thriller', 'animation']",9.0
26,Looney Tunes,SHOW,1929,Unknown,17.0,"['comedy', 'family', 'thriller', 'animation']",9.0
27,Looney Tunes,SHOW,1929,Unknown,17.0,"['comedy', 'family', 'thriller', 'animation']",9.0
28,The Last of Us,SHOW,2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
29,The Last of Us,SHOW,2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
30,The Last of Us,SHOW,2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
31,The Last of Us,SHOW,2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
32,The Last of Us,SHOW,2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
33,Rick and Morty,SHOW,2013,TV-MA,6.0,"['animation', 'scifi', 'action', 'comedy']",8.729
34,Rick and Morty,SHOW,2013,TV-MA,6.0,"['animation', 'scifi', 'action', 'comedy']",8.729
35,Rick and Morty,SHOW,2013,TV-MA,6.0,"['animation', 'scifi', 'action', 'comedy']",8.729
36,Rick and Morty,SHOW,2013,TV-MA,6.0,"['animation', 'scifi', 'action', 'comedy']",8.729
37,Frayed,SHOW,2019,TV-MA,2.0,"['comedy', 'drama']",8.727
38,Frayed,SHOW,2019,TV-MA,2.0,"['comedy', 'drama']",8.727
39,Trinity of Shadows,SHOW,2021,Unknown,1.0,['thriller'],8.7
40,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
41,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
42,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
43,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
44,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
45,Regular Show,SHOW,2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
46,Conan Without Borders,SHOW,2015,TV-MA,1.0,[],8.667
47,Primal,SHOW,2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
48,Primal,SHOW,2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
49,Primal,SHOW,2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
50,Primal,SHOW,2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
51,Primal,SHOW,2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
52,Selena + Chef,SHOW,2020,TV-PG,4.0,['reality'],8.643
53,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
54,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
55,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
56,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
57,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
58,Dr. Stone,SHOW,2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
59,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
60,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
61,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
62,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
63,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
64,Tokyo Revengers,SHOW,2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
65,The Sopranos,SHOW,1999,TV-MA,6.0,"['drama', 'crime']",8.603
66,The Sopranos,SHOW,1999,TV-MA,6.0,"['drama', 'crime']",8.603
67,Axios,SHOW,2018,TV-14,4.0,['documentation'],8.6
68,Xavier: Renegade Angel,SHOW,2007,TV-MA,2.0,"['animation', 'comedy']",8.6
69,Xavier: Renegade Angel,SHOW,2007,TV-MA,2.0,"['animation', 'comedy']",8.6
70,Chernobyl,SHOW,2019,TV-MA,1.0,"['drama', 'thriller', 'history']",8.6
71,Chernobyl,SHOW,2019,TV-MA,1.0,"['drama', 'thriller', 'history']",8.6
72,Chernobyl,SHOW,2019,TV-MA,1.0,"['drama', 'thriller', 'history']",8.6
73,Noblesse,SHOW,2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
74,Noblesse,SHOW,2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
75,Noblesse,SHOW,2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
76,Noblesse,SHOW,2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
77,Noblesse,SHOW,2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
78,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
79,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
80,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
81,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
82,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
83,The Amazing World of Gumball,SHOW,2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
84,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
85,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
86,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
87,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
88,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
89,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
90,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
91,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
92,Over the Garden Wall,SHOW,2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
93,The Wire,SHOW,2002,TV-MA,5.0,"['drama', 'crime', 'thriller']",8.501
94,The Wire,SHOW,2002,TV-MA,5.0,"['drama', 'crime', 'thriller']",8.501
95,The Wire,SHOW,2002,TV-MA,5.0,"['drama', 'crime', 'thriller']",8.501
96,Arthur's Law,SHOW,2018,Unknown,2.0,['comedy'],8.5
