,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Genre,Vote Average
0,AK vs AK,Movie,India,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",2020,TV-MA,109 min,Comedies,10.0
1,AK vs AK,Movie,India,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",2020,TV-MA,109 min, Dramas,10.0
2,AK vs AK,Movie,India,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",2020,TV-MA,109 min, International Movies,10.0
3,Talaash,Movie,India,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",2012,TV-14,140 min,Dramas,10.0
4,Talaash,Movie,India,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",2012,TV-14,140 min, International Movies,10.0
5,Talaash,Movie,India,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",2012,TV-14,140 min, Thrillers,10.0
6,Fatherhood,Movie,United States,Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",2021,PG-13,111 min,Dramas,10.0
7,Janaan,Movie,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016,TV-14,132 min,Comedies,10.0
8,Janaan,Movie,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016,TV-14,132 min, Dramas,10.0
9,Janaan,Movie,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016,TV-14,132 min, International Movies,10.0
10,Much Ado About Nothing,Movie,"Chile, United States, France",Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos",2016,TV-MA,96 min,Dramas,10.0
