,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Genre,Vote Average
0,DOM,TV Show,BR,Unknown,"Gabriel Leone, Flávio Tolezani, Filipe Bragança, Laila Garin, Wilson Rabelo, Fábio Lago, Mariana Cerrone, Raquel Villar, Isabella Santoni, Ramon Francisco, Digão Ribeiro",2021,NR,1 Season,Drama,10.0
1,The World Wars,TV Show,US,Unknown,Unknown,2014,TV-14,1 Season,Special Interest,10.0
2,Pocket.watch Onyx Family Ultimate mishmash,TV Show,GB,Unknown,"Mirthell Mitchell, Rita Mitchell, Shalom Mitchell, Sinead Mitchell, Sade Mitchell, Shiloh Mitchell",2020,TV-Y7,1 Season,Kids,10.0
3,Pete the Cat,TV Show,Unknown,Unknown,"Jacob Tremblay, Jeff “Swampy” Marsh, KT Tunstall, Don Was, Alyson Stoner, Atticus Shaffer, Indie Nameth, Juliet Donenfeld, Felix Avitia, Jessica Biel, Rhys Darby, Pamela Adlon, Fred Tatasciore, Diedrich Bader, Jesse Tyler Ferguson, Jim Parsons, Tom Freund",2021,ALL,8 Seasons,Kids,10.0
4,Act 6 - Series 2,TV Show,CN,Unknown,1,2021,ALL,1 Season,TV Shows,10.0
5,ACT 2 - Series 6,TV Show,CN,Unknown,1,2021,ALL,1 Season,TV Shows,10.0
6,Baywatch Hawaii,TV Show,US,Unknown,"Jason Momoa, Stacy Kamano, Michael Bergin, Brande Roderick, Charlie Brumbly, Krista Allen, Jason Brooks",2001,TV-PG,2 Seasons,TV Shows,10.0
7,Rob Delaney: Jackie,TV Show,US,Unknown,Rob Delaney,2020,18+,1 Season,Arts,10.0
8,Rob Delaney: Jackie,TV Show,US,Unknown,Rob Delaney,2020,18+,1 Season, Entertainment,10.0
9,Rob Delaney: Jackie,TV Show,US,Unknown,Rob Delaney,2020,18+,1 Season, and Culture,10.0
10,Rob Delaney: Jackie,TV Show,US,Unknown,Rob Delaney,2020,18+,1 Season, Comedy,10.0
11,AWS DeepRacer TV,TV Show,IT,Unknown,Blaine Sundrud,2019,ALL,1 Season,Documentary,10.0
12,AWS DeepRacer TV,TV Show,IT,Unknown,Blaine Sundrud,2019,ALL,1 Season, Special Interest,10.0
13,Rolie Polie Olie,TV Show,CA,Unknown,"Cole Caplan, Adrian Truss, Kristen Bone, Catherine Disher",1998,TV-Y,1 Season,Animation,10.0
14,Rolie Polie Olie,TV Show,CA,Unknown,"Cole Caplan, Adrian Truss, Kristen Bone, Catherine Disher",1998,TV-Y,1 Season, Kids,10.0
15,"I, Caesar: The Rise and Fall of the Roman Empire",TV Show,US,Unknown,Unknown,1997,18+,1 Season,Documentary,10.0
16,"I, Caesar: The Rise and Fall of the Roman Empire",TV Show,US,Unknown,Unknown,1997,18+,1 Season, Special Interest,10.0
17,Steve and Maggie - Giggles Galore,TV Show,CN,Unknown,"Steve, Maggie",2021,ALL,1 Season,Animation,10.0
18,Steve and Maggie - Giggles Galore,TV Show,CN,Unknown,"Steve, Maggie",2021,ALL,1 Season, Kids,10.0
19,Ground Force Revisited,TV Show,US,Unknown,"Tommy Walsh, Charle Dimmock, Will Shanahan, Kirsty King",2004,7+,1 Season,Special Interest,10.0
20,Ground Force Revisited,TV Show,US,Unknown,"Tommy Walsh, Charle Dimmock, Will Shanahan, Kirsty King",2004,7+,1 Season, Unscripted,10.0
21,"Ronja, the Robber's Daughter",TV Show,JP,Unknown,"Gillian Anderson, Theresa Gallagher",2017,7+,1 Season,Anime,10.0
22,"Ronja, the Robber's Daughter",TV Show,JP,Unknown,"Gillian Anderson, Theresa Gallagher",2017,7+,1 Season, Kids,10.0
23,The Incredible Stories of Bimi Boo and Friends,TV Show,CA,Unknown,"Marlies Dubois, Steven Marriott, Ken Ruffelle, Karilynne Davies, Michelle Weisbom, Steven Marriot, Angela Gooliaff, Emily Kate, Will Wood, Leon De Luna",2021,TV-G,1 Season,Action,9.5
24,The Incredible Stories of Bimi Boo and Friends,TV Show,CA,Unknown,"Marlies Dubois, Steven Marriott, Ken Ruffelle, Karilynne Davies, Michelle Weisbom, Steven Marriot, Angela Gooliaff, Emily Kate, Will Wood, Leon De Luna",2021,TV-G,1 Season, Kids,9.5
25,Socially Distanced,TV Show,US,Unknown,"Jeff Willy, Kirsten Trammell, Priya Gopalan, Levi Connelly, Babak Shahrokh, Anne Schreiber, Susan G. Carter, Benjamin Mumford-Zisk, Altin Axel, Celina C. Goetti, Eleanor Repass, Elizabeth Lawson, Daniel Neri, Rachel Patchett, Maegan Gephart, Jennifer Cramer, Teresa Hunt",2020,16+,1 Season,Comedy,9.0
26,Socially Distanced,TV Show,US,Unknown,"Jeff Willy, Kirsten Trammell, Priya Gopalan, Levi Connelly, Babak Shahrokh, Anne Schreiber, Susan G. Carter, Benjamin Mumford-Zisk, Altin Axel, Celina C. Goetti, Eleanor Repass, Elizabeth Lawson, Daniel Neri, Rachel Patchett, Maegan Gephart, Jennifer Cramer, Teresa Hunt",2020,16+,1 Season, Drama,9.0
27,Gangstars (Telugu),TV Show,GB,Unknown,"Jagapati Babu, Navdeep, Sidhu, Swetha Basu Prasad, Sivaji, Apoorva Arora, Aiswarya, Krishna Bhagwan, Dhanraj, Posani",2018,18+,1 Season,International,9.0
28,Tooth & Claw,TV Show,US,Unknown,Tooth & Claw Field Staff,2020,13+,1 Season,Action,9.0
29,Tooth & Claw,TV Show,US,Unknown,Tooth & Claw Field Staff,2020,13+,1 Season, Adventure,9.0
30,Tooth & Claw,TV Show,US,Unknown,Tooth & Claw Field Staff,2020,13+,1 Season, Sports,9.0
31,Wild Boys,TV Show,AU,Unknown,"Daniel MacPherson, Michael Dorman, Alexander England, Zoe Ventoura, Anna Hutchison, Jeremy Sims, Nathaniel Dean, David Field, Caroline Brazier, Krew Boylan",2011,13+,1 Season,Drama,9.0
32,Wild Boys,TV Show,AU,Unknown,"Daniel MacPherson, Michael Dorman, Alexander England, Zoe Ventoura, Anna Hutchison, Jeremy Sims, Nathaniel Dean, David Field, Caroline Brazier, Krew Boylan",2011,13+,1 Season, Western,9.0
33,The Times Table Adventure,TV Show,CA,Unknown,Unknown,2011,7+,1 Season,Animation,9.0
34,The Times Table Adventure,TV Show,CA,Unknown,Unknown,2011,7+,1 Season, Kids,9.0
35,Braceface,TV Show,CA,Unknown,"Alicia Silverstone, Michael Cera, Marnie McPhail, Brooke D'Orsay",2004,TV-Y,4 Seasons,Animation,9.0
36,Braceface,TV Show,CA,Unknown,"Alicia Silverstone, Michael Cera, Marnie McPhail, Brooke D'Orsay",2004,TV-Y,4 Seasons, Comedy,9.0
37,Braceface,TV Show,CA,Unknown,"Alicia Silverstone, Michael Cera, Marnie McPhail, Brooke D'Orsay",2004,TV-Y,4 Seasons, Kids,9.0
38,The Hitchhiker's Guide to the Galaxy,TV Show,GB,Unknown,"Peter Jones, Simon Jones, David Dixon, Joe Melia",1981,13+,1 Season,Science Fiction,9.0
39,Gangstars (Tamil),TV Show,GB,Unknown,"Jagapati Babu, Navdeep, Sidhu, Swetha Basu Prasad, Sivaji, Apoorva Arora, Aiswarya, Krishna Bhagwan, Dhanraj, Posani",2018,18+,1 Season,International,9.0
40,Looped,TV Show,CA,Unknown,Unknown,2016,TV-Y,2 Seasons,Kids,8.8
41,The Face UK,TV Show,GB,Unknown,"Naomi Campbell, Erin O'Connor, Caroline Winberg",2013,13+,1 Season,TV Shows,8.8
42,State of Mind,TV Show,US,Unknown,"Niamh Cusack, Rowena Cooper, Andrew Lincoln",2003,16+,1 Season,TV Shows,8.8
43,Orphan Black (4K UHD),TV Show,GB,Unknown,"Tatiana Maslany, Jordan Gavaris, Maria Doyle Kennedy, Dylan Bruce, Kevin Hanchard",2014,TV-MA,2 Seasons,Drama,8.8
44,Orphan Black (4K UHD),TV Show,GB,Unknown,"Tatiana Maslany, Jordan Gavaris, Maria Doyle Kennedy, Dylan Bruce, Kevin Hanchard",2014,TV-MA,2 Seasons, Science Fiction,8.8
45,Detectorists (BBC Series),TV Show,US,Unknown,"Mackenzie Crook, Toby Jones, Pearce Quigley",2017,TV-14,1 Season,Comedy,8.658
46,World’s Toughest Race: Eco-Challenge Fiji,TV Show,US,Unknown,Bear Grylls,2020,13+,1 Season,Unscripted,8.624
47,World War II: When Lions Roared,TV Show,Unknown,Unknown,"Michael Caine, John Lithgow, Bob Hoskins",1994,TV-14,1 Season,Drama,8.624
48,Blippi - Videos for Kids,TV Show,CN,Unknown,Stevin John,2016,ALL,1 Season,Kids,8.593
49,Blippi - Videos for Kids,TV Show,CN,Unknown,Stevin John,2016,ALL,1 Season, Special Interest,8.593
50,Blockbusters with Bill Cullen,TV Show,CN,Unknown,Bill Cullen,1981,TV-G,1 Season,Unscripted,8.593
51,Brand New House On a Budget,TV Show,KR,Unknown,Unknown,2014,13+,1 Season,Special Interest,8.593
52,Brand New House On a Budget,TV Show,KR,Unknown,Unknown,2014,13+,1 Season, Unscripted,8.593
53,Man's World,TV Show,IN,Unknown,"Gaurav Pandey, Gurpreet Saini, Shikha Talsania, Nivedita Shukla, Ramakant Dayma, Ranjini Chakraborty, Silky Khanna, Parineeti Chopra, Kalki Koechlin, Richa Chadda, Soni Razdan, Pritish Nandy, Rhea Chakraborty, Bhumi Pednekar, Miss Malini, Cyrus Sahukar, Shweta Tripathi, Priyanka Bose, Nidhi Singh, Naveen Kasturia, Meiyang Chang, Aditi Singh Sharma, Anupama Chopra, Aditi Mittal",2015,16+,1 Season,Comedy,8.588
54,Dolly's Stories,TV Show,CN,Unknown,Unknown,2018,ALL,1 Season,Animation,8.583
55,Dolly's Stories,TV Show,CN,Unknown,Unknown,2018,ALL,1 Season, Kids,8.583
56,Colourcloud Palace,TV Show,IN,Unknown,Unknown,2006,13+,1 Season,Action,8.564
57,Colourcloud Palace,TV Show,IN,Unknown,Unknown,2006,13+,1 Season, Animation,8.564
58,Colourcloud Palace,TV Show,IN,Unknown,Unknown,2006,13+,1 Season, Anime,8.564
59,The First 48 Presents: Homicide Squad Atlanta,TV Show,US,Unknown,Adam III Lee,2019,TV-14,1 Season,TV Shows,8.558
60,The Z Virus,TV Show,Unknown,Unknown,Freddie De Grate,2017,18+,1 Season,Action,8.5
61,The Z Virus,TV Show,Unknown,Unknown,Freddie De Grate,2017,18+,1 Season, Science Fiction,8.5
62,Elfen Lied,TV Show,JP,Unknown,"Kira Vincent-Davis, Adam Conlon",2005,TV-NR,1 Season,Anime,8.472
