,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
67,Movie,Far Away From Raven’s Home,Unknown,Unknown,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",2021,"September 10, 2021",TV-G,11 min,Comedy,10.0
547,Movie,Earth Live,United States,Glenn Weiss,"Jane Lynch, Phil Keoghan, Chris Packham",2017,"November 12, 2019",TV-PG,94 min,"Animals & Nature, Documentary, Family",10.0
295,Movie,Women Of Impact: Changing The World,United States,Unknown,Julianna Margulies,2019,"June 5, 2020",TV-PG,44 min,"Documentary, Historical",9.5
215,Movie,Prep & Landing: Naughty vs. Nice,United States,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",2011,"November 6, 2020",TV-G,23 min,"Animation, Family, Fantasy",9.2
36,Movie,Prep & Landing: Operation Secret Santa,Unknown,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",2010,"November 5, 2021",TV-G,8 min,"Animation, Family, Fantasy",9.2
214,Movie,Prep & Landing,United States,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",2009,"November 6, 2020",TV-G,23 min,"Animation, Family, Fantasy",9.2
189,Movie,Disney Holiday Magic Quest,United States,Unknown,Unknown,2020,"December 11, 2020",TV-G,46 min,Movies,9.0
289,Movie,The Liberty Story,United States,"Hamilton Luske, Robert Stevenson",Walt Disney,1957,"June 12, 2020",TV-PG,48 min,"Drama, Family, Historical",9.0
50,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Unknown,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",2021,"October 8, 2021",TV-PG,85 min,"Family, Variety",9.0
405,Movie,High School Musical: The Musical: The Series: The Special,United States,Clayton Cogswell,"Joshua Bassett, Olivia Rodrigo, Sofia Wylie, Matt Cornett, Dara Renee",2019,"December 20, 2019",TV-G,23 min,"Coming of Age, Documentary, Drama",8.714
149,Movie,The Last Ice,United States,Scott Ressler,Unknown,2020,"April 2, 2021",TV-14,82 min,"Animals & Nature, Documentary",8.625
204,Movie,Folklore: the long pond studio sessions,United States,Unknown,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",2020,"November 25, 2020",TV-14,107 min,"Documentary, Music",8.6
216,Movie,Disney Channel Halloween House Party,United States,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",2020,"October 30, 2020",TV-G,23 min,"Comedy, Variety",8.5
170,Movie,Wild Uganda,Unknown,Harald Pokieser,Russell Boulter,2018,"January 22, 2021",TV-PG,45 min,"Animals & Nature, Documentary",8.5
526,Movie,Disney Under The Sea: A Descendants Short Story,Unknown,Hasraf Dulull,Unknown,2018,"November 12, 2019",TV-G,10 min,"Fantasy, Musical, Thriller",8.4
528,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Unknown,Chris Wilson,"Stephen Boss, Allison Holker",2017,"November 12, 2019",TV-PG,42 min,"Family, Lifestyle, Reality",8.4
527,Movie,Disney's Fairy Tale Weddings,Unknown,Chris Wilson,"Ben Higgins, Lauren Bushnell",2017,"November 12, 2019",TV-PG,64 min,"Family, Lifestyle, Reality",8.4
524,Movie,Disney Descendants,United States,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",2015,"November 12, 2019",TV-G,114 min,"Coming of Age, Fantasy, Musical",8.4
525,Movie,Disney Girl vs. Monster,"United States, Canada",Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson",2012,"November 12, 2019",TV-PG,90 min,"Action-Adventure, Comedy, Fantasy",8.4
823,Movie,Star Wars: The Empire Strikes Back (Episode V),United States,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, David Prowse",1980,"November 12, 2019",PG,127 min,"Action-Adventure, Science Fiction",8.391
473,Movie,Breaking2,United States,Martin Roe,"Lelisa Desisa, Eliud Kipchoge, Zersenay Tadese",2017,"November 12, 2019",TV-PG,55 min,"Documentary, Sports",8.3
138,Movie,Cesar Millan: The Real Story,United States,Doug Shultz,Cesar Millan,2012,"April 9, 2021",TV-PG,45 min,"Biographical, Documentary",8.3
222,Movie,Clouds,United States,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020,"October 16, 2020",PG-13,122 min,"Biographical, Drama, Music",8.294
682,Movie,Marvel Studios' Avengers: Endgame,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",2019,"November 12, 2019",PG-13,183 min,"Action-Adventure, Fantasy, Science Fiction",8.262
279,Movie,Marvel Studios' Avengers: Infinity War,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",2018,"June 26, 2020",PG-13,152 min,"Action-Adventure, Fantasy, Science Fiction",8.253
419,Movie,Coco (in Spanish),Unknown,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min,"Animation, Family, Fantasy",8.221
418,Movie,Coco,United States,Lee Unkrich,"Anthony Gonzalez, Gael Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil",2017,"November 29, 2019",PG,105 min,"Animation, Family, Fantasy",8.221
272,Movie,Hamilton,United States,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020,"July 3, 2020",PG-13,160 min,"Biographical, Historical, Musical",8.215
819,Movie,Star Wars: A New Hope (Episode IV),United States,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels",1977,"November 12, 2019",PG,125 min,"Action-Adventure, Science Fiction",8.204
554,Movie,Expedition Mars: Spirit & Opportunity,United States,Mark Davis,Bray Poor,2019,"November 12, 2019",TV-PG,88 min,Documentary,8.2
187,Movie,"Miraculous World: New York, United Heroez","United Kingdom, United States, France",Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz",2020,"December 18, 2020",TV-Y7-FV,60 min,"Action-Adventure, Animation, Fantasy",8.17
188,Movie,Disney Channel's Epic Holiday Showdown,United States,Unknown,Unknown,2020,"December 11, 2020",TV-G,50 min,"Fantasy, Variety",8.17
336,Movie,In the Footsteps of Elephant,United States,Vanessa Berlowitz,Jeremy Sisto,2020,"April 3, 2020",G,88 min,"Animals & Nature, Documentary, Family",8.167
752,Movie,Piper,United States,Alan Barillaro,Unknown,2016,"November 12, 2019",G,6 min,"Animals & Nature, Animation, Family",8.164
182,Movie,Soul,United States,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",2020,"December 25, 2020",PG,107 min,"Animation, Comedy, Family",8.148
1006,Movie,Yellowstone Cubs,United States,Charles Draper,Rex Allen,1963,"November 12, 2019",TV-PG,48 min,"Animals & Nature, Comedy, Family",8.143
730,Movie,Newsies: The Broadway Musical,United States,"Jeff Calhoun, Brett Sullivan","Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger, Steve Blanchard, Aisha de Haas",2017,"November 12, 2019",PG,134 min,"Coming of Age, Drama, Family",8.103
975,Movie,Trail of the Panda,China,Zhong Yu,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",2009,"November 12, 2019",G,89 min,"Action-Adventure, Animals & Nature, Family",8.1
327,Movie,Diving with Dolphins,United States,Keith Scholey,Celine Cousteau,2020,"April 3, 2020",G,79 min,"Animals & Nature, Documentary, Family",8.077
231,Movie,Hidden Figures,United States,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2016,"September 25, 2020",PG,128 min,"Biographical, Drama, Family",8.058
72,Movie,Cruella,"United States, United Kingdom",Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste",2021,"August 27, 2021",PG-13,137 min,"Crime, Drama",8.05
688,Movie,Marvel Studios' Guardians of the Galaxy Vol. 2,United States,James Gunn,"Chris Pratt, Bradley Cooper, Vin Diesel, Pom Klementieff, Zoë Saldana, Dave Bautista",2017,"November 12, 2019",PG-13,137 min,"Action-Adventure, Comedy, Science Fiction",8.013
649,Movie,Knick Knack Theatrical Short,Unknown,John Lasseter,Unknown,2003,"November 12, 2019",G,4 min,"Animation, Family, Kids",8.0
212,Movie,Petra: Secrets of the Ancient Builders,United Arab Emirates,"Thierry Fessard, Yohann Thiriet",Bert Morris,2019,"November 13, 2020",TV-G,45 min,"Documentary, Historical",8.0
265,Movie,The Mouseketeers at Walt Disney World,United States,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",1977,"July 17, 2020",TV-PG,56 min,"Coming of Age, Drama, Family",8.0
648,Movie,Kitbull,United States,Rosana Sullivan,Unknown,2019,"November 12, 2019",PG,9 min,"Animation, Buddy, Comedy",8.0
355,Movie,Frozen 2,United States,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling Brown, Evan Wood",2019,"March 14, 2020",PG,107 min,"Action-Adventure, Animation, Family",8.0
202,Movie,Black Beauty,United States,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",2020,"November 27, 2020",TV-PG,111 min,"Animals & Nature, Coming of Age, Drama",8.0
152,Movie,Disney My Music Story: Perfume,Unknown,Kentaro Takayanagi,"a-chan , KASHIYUKA , NOCCHi",2019,"March 19, 2021",Unknown,53 min,"Biographical, Documentary, Music",8.0
89,Movie,Shark vs. Whale,Unknown,Unknown,Ted Stewart,2020,"July 23, 2021",TV-PG,44 min,"Animals & Nature, Documentary",8.0
757,Movie,Planet of the Birds,Unknown,Unknown,Rodd Houston,2018,"November 12, 2019",TV-PG,45 min,"Animals & Nature, Documentary, Family",8.0
42,Movie,Bob Ballard: An Explorer's Life,Unknown,Unknown,Unknown,2021,"October 29, 2021",TV-PG,44 min,"Biographical, Documentary",8.0
317,Movie,Born Wild: The Next Generation,United States,Liliana Olszewski,Robin Roberts,2020,"April 28, 2020",TV-PG,44 min,"Animals & Nature, Documentary",8.0
133,Movie,Being the Queen,United States,Tom Jennings,Unknown,2020,"April 23, 2021",TV-14,44 min,"Biographical, Documentary",8.0
196,Movie,Man vs. Shark,United States,Unknown,"Jeremiah Sullivan, Dave Hoffman",2019,"December 4, 2020",TV-PG,45 min,"Animals & Nature, Documentary",8.0
290,Movie,The Story of the Animated Drawing,United States,"Wilfred Jackson, William Beaudine",Unknown,1955,"June 12, 2020",TV-PG,49 min,"Documentary, Family",8.0
20,Movie,Paperman,United States,John Kahrs,"John Kahrs, Kari Wahlgren",2012,"November 12, 2021",G,7 min,"Animation, Comedy, Family",7.998
969,Movie,Toy Story,United States,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",1995,"November 12, 2019",G,83 min,"Action-Adventure, Animation, Buddy",7.97
989,Movie,Up,United States,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",2009,"November 12, 2019",PG,96 min,"Action-Adventure, Animation, Buddy",7.951
621,Movie,Inside Out,United States,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling",2015,"November 12, 2019",PG,95 min,"Animation, Coming of Age, Family",7.922
571,Movie,Free Solo,United States,"Elizabeth Vasarhelyi, Jimmy Chin","Alex Honnold, Tommy Caldwell",2018,"November 12, 2019",TV-PG,101 min,"Action-Adventure, Documentary, Sports",7.916
197,Movie,Mulan,"United States, Canada, Hong Kong",Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An",2020,"December 4, 2020",PG-13,117 min,"Action-Adventure, Coming of Age, Drama",7.915
251,Movie,The Greatest Showman,United States,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",2017,"August 14, 2020",PG,106 min,"Biographical, Drama, Family",7.906
257,Movie,Cradle of the Gods,United Kingdom,Tim Conrad,Tim Conrad,2012,"July 31, 2020",TV-PG,45 min,"Documentary, Historical",7.9
70,Movie,Happier Than Ever: A Love Letter to Los Angeles,United States,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",2021,"September 3, 2021",TV-14,66 min,"Concert Film, Music",7.9
100,Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",Unknown,Thomas Astruc,"Cristina 'Vee"" Valenzuela, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Todd Haberkorn, Max Mittelman",2021,"July 9, 2021",TV-Y7-FV,54 min,"Animation, Fantasy",7.896
821,Movie,Star Wars: Return of the Jedi (Episode VI),United States,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, Peter Mayhew",1983,"November 12, 2019",PG,135 min,"Action-Adventure, Science Fiction",7.892
115,Movie,Raya and the Last Dragon,United States,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina , Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong",2021,"June 4, 2021",PG,112 min,"Action-Adventure, Animation, Family",7.889
111,Movie,Luca,United States,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",2021,"June 18, 2021",PG,101 min,"Animation, Buddy, Coming of Age",7.858
64,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Unknown,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",2016,"September 17, 2021",TV-G,116 min,"Concert Film, Music",7.857
171,Movie,Isle of Dogs,"United States, Germany, United Kingdom",Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum, Bill Murray",2018,"January 15, 2021",PG-13,102 min,"Action-Adventure, Animation, Comedy",7.856
117,Movie,Us Again,Unknown,Zach A. Parrish,Unknown,2021,"June 4, 2021",G,7 min,"Animation, Dance, Family",7.852
620,Movie,Inner Workings,United States,Leo Matsuda,"Este Haim, Tucker Gilmore, Raymond Persi, Terri Douglas",2016,"November 12, 2019",G,6 min,"Animation, Comedy, Family",7.851
961,Movie,Tim Burton’s The Nightmare Before Christmas,United States,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens",1993,"November 12, 2019",PG,78 min,"Animation, Family, Fantasy",7.844
719,Movie,"Monsters, Inc.",United States,Pete Docter,"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly",2001,"November 12, 2019",G,93 min,"Animation, Buddy, Comedy",7.835
227,Movie,Wild Portugal,Unknown,Christian Baumeister,Bart Thomasson,2020,"October 9, 2020",TV-14,45 min,"Animals & Nature, Documentary, Family",7.833
559,Movie,Finding Nemo,"United States, Australia",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney",2003,"November 12, 2019",G,103 min,"Action-Adventure, Animation, Comedy",7.825
772,Movie,Ratatouille,United States,Brad Bird,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole",2007,"November 12, 2019",G,111 min,"Animation, Comedy, Family",7.808
87,Movie,Playing with Sharks,Unknown,Unknown,"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall",2021,"July 23, 2021",TV-14,91 min,"Animals & Nature, Biographical, Documentary",7.8
341,Movie,Penguins: Life on the Edge,United States,"Alastair Fothergill, Jeff Wilson",Blair Underwood,2020,"April 3, 2020",G,78 min,"Animals & Nature, Documentary, Family",7.8
318,Movie,The Olympic Elk,United States,James Algar,Winston Hibler,1952,"April 24, 2020",TV-G,27 min,"Animals & Nature, Documentary, Family",7.8
755,Movie,Pirates of the Caribbean: The Curse of the Black Pearl,United States,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Kevin McNally",2003,"November 12, 2019",PG-13,144 min,"Action-Adventure, Fantasy",7.795
741,Movie,Partly Cloudy,United States,Peter Sohn,"Tony Fucile, Lori Richardson",2009,"November 12, 2019",G,6 min,"Animation, Comedy, Family",7.794
971,Movie,Toy Story 3,United States,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger",2010,"November 12, 2019",G,103 min,"Animation, Comedy, Drama",7.791
