,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
485,MOVIE,Niaye,"['FR', 'SN']",1964,Unknown,35,['drama'],10.0
1999,MOVIE,Euphoria: Trouble Don't Last Always,['US'],2020,R,57,['drama'],10.0
1906,MOVIE,Manic,[],2017,Unknown,18,['drama'],10.0
1602,MOVIE,Legendary Nights: The Tale of Gatti-Ward,['US'],2013,Unknown,77,"['history', 'documentation', 'drama']",10.0
2346,MOVIE,¡Viva Maestro!,['US'],2022,Unknown,99,['documentation'],10.0
493,MOVIE,American Revolution 2,['US'],1969,Unknown,76,['documentation'],10.0
2295,MOVIE,Euphoria: F*ck Anyone Who’s Not A Sea Blob,['US'],2021,R,55,['drama'],10.0
1048,MOVIE,Lord of the Rings: Return of the King (Extended Edition),['US'],2003,PG-13,263,"['fantasy', 'action']",10.0
920,MOVIE,Goodnight Moon & Other Sleepytime Tales,['US'],1999,Unknown,27,"['animation', 'family', 'fantasy']",10.0
675,MOVIE,Mike Mulligan and His Steam Shovel,['US'],1990,Unknown,25,"['animation', 'family']",10.0
2361,MOVIE,Reign of the Superwomen,['FR'],2021,Unknown,82,['documentation'],10.0
1185,MOVIE,Section 60: Arlington National Cemetery,['US'],2008,Unknown,54,['documentation'],10.0
2025,MOVIE,A Storybook Ending,"['GB', 'CA']",2020,Unknown,18,"['comedy', 'crime']",10.0
2084,MOVIE,Shakira in Concert: El Dorado World Tour,['US'],2019,Unknown,122,"['documentation', 'music']",10.0
1608,MOVIE,Habla Women,['US'],2013,PG,56,['documentation'],9.5
2363,MOVIE,Havana Street Party Presents: Beatriz Luengo,['US'],2021,Unknown,47,['music'],9.0
1346,MOVIE,I Have Tourette's But Tourette's Doesn't Have Me,['US'],2005,Unknown,27,['documentation'],9.0
2249,MOVIE,South ParQ: Vaccination Special,['US'],2021,R,47,"['comedy', 'animation']",9.0
988,MOVIE,The Lord of the Rings: The Two Towers (Extended Edition),['US'],2002,PG-13,235,"['fantasy', 'action']",9.0
2248,MOVIE,The Forever Prisoner,['US'],2021,R,119,"['documentation', 'crime']",9.0
1446,MOVIE,First,['GB'],2012,Unknown,109,"['documentation', 'sport']",9.0
1726,MOVIE,3 Days of Terror: The Charlie Hebdo Attacks,['FR'],2016,Unknown,59,"['documentation', 'crime']",8.9
685,MOVIE,The Shawshank Redemption,['US'],1994,R,143,['drama'],8.702
1725,MOVIE,Requiem for the Dead: American Spring 2014,['US'],2015,Unknown,67,['documentation'],8.7
2109,MOVIE,Dọlápọ̀ Is Fine,['GB'],2020,Unknown,15,['drama'],8.7
951,MOVIE,Spirited Away,['JP'],2001,PG,125,"['fantasy', 'animation', 'family']",8.541
947,MOVIE,The Dark Knight,"['GB', 'US']",2008,PG-13,152,"['drama', 'thriller', 'action', 'crime']",8.508
2371,MOVIE,When the Sun Sets,['ZA'],2021,Unknown,14,['drama'],8.5
960,MOVIE,The Lord of the Rings: The Return of the King,"['NZ', 'US']",2003,PG-13,201,"['fantasy', 'action', 'drama']",8.474
500,MOVIE,GoodFellas,['US'],1990,R,145,"['crime', 'drama']",8.465
172,MOVIE,Seven Samurai,['JP'],1954,Unknown,207,"['drama', 'action']",8.458
2266,MOVIE,Tig Notaro: Drawn,['US'],2021,Unknown,52,['animation'],8.444
1977,MOVIE,The Fresh Prince of Bel-Air Reunion,['US'],2020,Unknown,75,['documentation'],8.435
168,MOVIE,One Flew Over the Cuckoo's Nest,['US'],1975,R,133,['drama'],8.423
966,MOVIE,Howl's Moving Castle,['JP'],2004,PG,119,"['fantasy', 'animation', 'action', 'drama', 'family']",8.401
2304,MOVIE,Juice WRLD: Into the Abyss,['US'],2021,Unknown,110,"['music', 'documentation']",8.4
687,MOVIE,Se7en,['US'],1995,R,127,"['thriller', 'crime', 'drama']",8.4
2074,MOVIE,Under The Grapefruit Tree: The CC Sabathia Story,['US'],2020,Unknown,67,['documentation'],8.4
2241,MOVIE,Life of Crime: 1984-2020,['US'],2021,Unknown,121,"['documentation', 'crime']",8.4
943,MOVIE,The Lord of the Rings: The Fellowship of the Ring,"['NZ', 'US']",2001,PG-13,178,"['fantasy', 'action', 'drama']",8.394
958,MOVIE,The Lord of the Rings: The Two Towers,"['NZ', 'US']",2002,PG-13,179,"['action', 'fantasy', 'drama']",8.375
23,MOVIE,The Great Dictator,['US'],1940,Unknown,125,"['comedy', 'drama', 'war']",8.35
170,MOVIE,Ikiru,['JP'],1952,Unknown,143,['drama'],8.35
688,MOVIE,The Silence of the Lambs,['US'],1991,R,118,"['drama', 'thriller', 'horror', 'crime']",8.344
29,MOVIE,City Lights,['US'],1931,G,87,"['comedy', 'drama', 'romance']",8.341
216,MOVIE,High and Low,['JP'],1963,Unknown,143,"['drama', 'thriller', 'crime']",8.324
41,MOVIE,Modern Times,['US'],1936,G,87,"['drama', 'comedy', 'romance', 'family']",8.314
2333,MOVIE,Juan Luis Guerra 4.40: Entre Mar y Palmeras,['DO'],2021,PG,70,['music'],8.3
1879,MOVIE,The Newspaperman: The Life and Times of Ben Bradlee,['US'],2017,Unknown,90,['documentation'],8.3
1605,MOVIE,Santana: Corazón Live from Mexico: Live It to Believe It,['US'],2014,Unknown,133,['music'],8.3
2274,MOVIE,LFG,['US'],2021,Unknown,105,"['documentation', 'sport']",8.3
724,MOVIE,Princess Mononoke,['JP'],1997,PG-13,134,"['action', 'fantasy', 'animation']",8.3
2083,MOVIE,A West Wing Special to Benefit When We All Vote,['US'],2020,Unknown,64,['drama'],8.3
1989,MOVIE,Justice League Dark: Apokolips War,['US'],2020,R,90,"['animation', 'action']",8.3
1830,MOVIE,Notes from the Field,['US'],2018,Unknown,90,['drama'],8.3
