,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
0,SHOW,Tom and Jerry,['US'],1940,Unknown,16.0,"['animation', 'comedy', 'family', 'action']",10.0
59,SHOW,Crashbox,"['CA', 'US']",1999,TV-Y7,2.0,"['animation', 'family']",10.0
155,SHOW,Category 7: The End of the World,['RU'],2005,TV-PG,1.0,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",10.0
162,SHOW,Classical Baby,['US'],2005,TV-Y,1.0,[],10.0
273,SHOW,Dios Inc.,['MX'],2016,Unknown,1.0,['thriller'],10.0
323,SHOW,Talk Show the Game Show,['US'],2017,TV-14,2.0,[],10.0
60,SHOW,Autopsy,['US'],1994,TV-MA,2.0,['documentation'],10.0
604,SHOW,The Retro Plant Shop with Mikey and Jo,['US'],2022,Unknown,1.0,['reality'],10.0
603,SHOW,Restoration Road With Clint Harp,['US'],2021,Unknown,3.0,[],10.0
601,SHOW,Batman: The Audio Adventures,['US'],2021,TV-14,1.0,"['comedy', 'fantasy', 'action']",9.5
412,SHOW,The World Between Us,['TW'],2019,Unknown,1.0,"['drama', 'crime']",9.022
575,SHOW,Beach Cottage Chronicles,['US'],2022,Unknown,1.0,['reality'],9.0
1,SHOW,Looney Tunes,[],1929,Unknown,17.0,"['comedy', 'family', 'thriller', 'animation']",9.0
617,SHOW,The Last of Us,['US'],2023,TV-MA,1.0,"['drama', 'action', 'horror', 'scifi', 'thriller']",8.798
202,SHOW,Rick and Morty,['US'],2013,TV-MA,6.0,"['animation', 'scifi', 'action', 'comedy']",8.729
382,SHOW,Frayed,"['AU', 'GB']",2019,TV-MA,2.0,"['comedy', 'drama']",8.727
573,SHOW,Trinity of Shadows,['TW'],2021,Unknown,1.0,['thriller'],8.7
109,SHOW,Regular Show,['US'],2010,TV-PG,8.0,"['comedy', 'animation', 'action', 'family', 'fantasy', 'scifi']",8.691
254,SHOW,Conan Without Borders,[],2015,TV-MA,1.0,[],8.667
344,SHOW,Primal,['US'],2019,TV-14,2.0,"['animation', 'drama', 'action', 'fantasy', 'horror']",8.66
365,SHOW,Selena + Chef,['US'],2020,TV-PG,4.0,['reality'],8.643
377,SHOW,Dr. Stone,['JP'],2019,TV-14,3.0,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",8.64
465,SHOW,Tokyo Revengers,['JP'],2021,TV-14,2.0,"['crime', 'scifi', 'animation', 'action', 'drama', 'thriller']",8.603
20,SHOW,The Sopranos,['US'],1999,TV-MA,6.0,"['drama', 'crime']",8.603
320,SHOW,Axios,['US'],2018,TV-14,4.0,['documentation'],8.6
141,SHOW,Xavier: Renegade Angel,['US'],2007,TV-MA,2.0,"['animation', 'comedy']",8.6
333,SHOW,Chernobyl,['US'],2019,TV-MA,1.0,"['drama', 'thriller', 'history']",8.6
427,SHOW,Noblesse,['JP'],2020,TV-MA,1.0,"['scifi', 'comedy', 'animation', 'action', 'fantasy']",8.575
176,SHOW,The Amazing World of Gumball,['US'],2011,TV-Y7,6.0,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",8.544
210,SHOW,Over the Garden Wall,['US'],2014,TV-PG,1.0,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",8.504
67,SHOW,The Wire,['US'],2002,TV-MA,5.0,"['drama', 'crime', 'thriller']",8.501
301,SHOW,Arthur's Law,['DE'],2018,Unknown,2.0,['comedy'],8.5
15,SHOW,Eyes on the Prize,['US'],1987,TV-PG,2.0,"['documentation', 'history']",8.5
448,SHOW,House of the Dragon,['US'],2022,TV-MA,2.0,"['scifi', 'drama', 'action', 'fantasy', 'romance']",8.5
306,SHOW,Wyatt Cenac's Problem Areas,['US'],2018,TV-MA,2.0,"['comedy', 'documentation']",8.5
24,SHOW,Batman: The Animated Series,['US'],1992,TV-Y7-FV,4.0,"['family', 'scifi', 'animation', 'action', 'crime', 'drama']",8.489
213,SHOW,Steven Universe,['US'],2013,TV-PG,6.0,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",8.468
110,SHOW,Young Justice,['US'],2010,TV-14,4.0,"['scifi', 'action', 'fantasy', 'romance', 'drama', 'animation', 'crime']",8.461
587,SHOW,Tsukimichi -Moonlit Fantasy-,['JP'],2021,TV-14,1.0,"['animation', 'scifi', 'action', 'comedy']",8.461
19,SHOW,Friends,['US'],1994,TV-14,10.0,"['comedy', 'drama', 'romance']",8.456
96,SHOW,Samurai Jack,['US'],2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
70,SHOW,Band of Brothers,['US'],2001,TV-MA,1.0,"['drama', 'war', 'history', 'action']",8.454
80,SHOW,Adventure Time,['US'],2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
335,SHOW,Harley Quinn,['US'],2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
223,SHOW,Shadows,['RO'],2014,TV-MA,3.0,"['drama', 'thriller', 'crime', 'european']",8.424
418,SHOW,Veneno,['ES'],2020,TV-MA,1.0,['drama'],8.412
252,SHOW,"Be Cool, Scooby-Doo!",['US'],2015,TV-Y7,2.0,"['animation', 'thriller', 'family', 'comedy']",8.406
169,SHOW,Game of Thrones,['US'],2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
556,SHOW,Batwheels,['US'],2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
298,SHOW,Craig of the Creek,['US'],2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
292,SHOW,Joe Pera Talks With You,['US'],2018,TV-14,3.0,['comedy'],8.4
74,SHOW,The Mentalist,['US'],2008,TV-14,7.0,"['drama', 'crime', 'thriller']",8.393
285,SHOW,My Brilliant Friend,"['US', 'IT']",2018,TV-MA,3.0,"['drama', 'romance', 'family', 'european']",8.388
336,SHOW,Euphoria,['US'],2019,TV-MA,2.0,"['crime', 'drama']",8.386
85,SHOW,Gossip Girl,['US'],2007,TV-14,6.0,"['drama', 'thriller', 'romance']",8.346
75,SHOW,The Vampire Diaries,['US'],2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
