,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
909,Movie,AK vs AK,India,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap",2020,"December 25, 2020",TV-MA,109 min,"Comedies, Dramas, International Movies",10.0
1927,Movie,Talaash,India,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",2012,"December 15, 2019",TV-14,140 min,"Dramas, International Movies, Thrillers",10.0
406,Movie,Fatherhood,United States,Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",2021,"June 18, 2021",PG-13,111 min,Dramas,10.0
4564,Movie,Janaan,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016,"September 15, 2017",TV-14,132 min,"Comedies, Dramas, International Movies",10.0
3545,Movie,Much Ado About Nothing,"Chile, United States, France",Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos",2016,"October 1, 2016",TV-MA,96 min,"Dramas, Independent Movies, International Movies",10.0
541,Movie,Deadly Switch,United States,Svetlana Cvetko,"Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce",2019,"May 10, 2021",TV-PG,86 min,"Independent Movies, Thrillers",10.0
2114,Movie,Mo Gilligan: Momentum,United Kingdom,Chris Howe,Mo Gilligan,2019,"September 30, 2019",TV-MA,64 min,Stand-Up Comedy,10.0
77,Movie,Crocodile Dundee in Los Angeles,"Australia, United States",Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",2001,"September 1, 2021",PG,95 min,"Action & Adventure, Comedies",10.0
938,Movie,The Wedding Shaman,,Farishad I. Latjuba,"Atiqah Hasiholan, Tutie Kirana, Arifin Putra, Tio Pakusadewo, Marthino Lio, Oxcel, Dodit Mulyanto",2019,"December 17, 2020",TV-PG,111 min,"Dramas, International Movies, Romantic Movies",10.0
1073,Movie,The Impossible,"Spain, Thailand, United States",J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",2012,"November 1, 2020",PG-13,114 min,Dramas,10.0
1077,Movie,His House,United Kingdom,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",2020,"October 30, 2020",TV-14,93 min,"Horror Movies, Independent Movies",10.0
1074,Movie,The Next Karate Kid,United States,Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins",1994,"November 1, 2020",PG,107 min,"Action & Adventure, Dramas, Sports Movies",10.0
4049,Movie,Cats & Dogs: The Revenge of Kitty Galore,"United States, Australia",Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",2010,"February 1, 2019",PG,82 min,"Children & Family Movies, Comedies",10.0
1233,Movie,Bhai: Vyakti Ki Valli - Uttarardh,India,Mahesh Manjrekar,"Sagar Deshmukh, Iravati Harshe, Vijay Kenkre, Shubhangi Damle, Ashwini Giri, Nina Kulkarni, Dalip Tahil, Girish Kulkarni",2019,"September 10, 2020",TV-PG,112 min,"Dramas, International Movies",10.0
2332,Movie,Someone Great,United States,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",2019,"April 19, 2019",R,92 min,"Comedies, Romantic Movies",9.5
