,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
1082,TV Show,Levius,Japan,Unknown,"Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano",2019,"November 28, 2019",TV-14,1 Season,"Anime Series, International TV Shows",10.0
2136,TV Show,Fear Files... Har Mod Pe Darr,India,Unknown,Unknown,2015,"June 1, 2017",TV-MA,1 Season,"International TV Shows, TV Horror, TV Thrillers",10.0
1990,TV Show,Hemlock Grove,United States,Eli Roth,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer",2015,"October 23, 2015",TV-MA,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",10.0
1668,TV Show,True: Magical Friends,Unknown,Unknown,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",2018,"June 15, 2018",TV-Y,1 Season,Kids' TV,9.3
1535,TV Show,Silvana Sin Lana,United States,Unknown,"Maritza Rodríguez, Carlos Ponce, Marimar Vega, Adriana Barraza, Marcela Guirado, Ricardo Abarca, Thali García, Alexandra Pomales, Briggitte Bozzo, Santiago Torres, Patricio Gallardo, Roberto Escobar, Samantha Dagnino, Raury Rolander, Vince Miranda, Javier Valcárcel",2016,"November 17, 2018",TV-14,1 Season,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",9.1
902,TV Show,The Trial,Italy,Stefano Lodovichi,"Vittoria Puccini, Francesco Scianna, Camilla Filippi, Simone Colombari, Maurizio Lastrico, Alessandro Averone, Euridice Axen, Marco Baliani, Pia Lanciotti, Giordano De Plano, Roberto Herlitzka, Tommaso Ragno, Margherita Caviezel, Michele Morrone",2019,"April 10, 2020",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",9.0
189,TV Show,Terrace House: Opening New Doors,Japan,Unknown,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",2018,"July 6, 2021",TV-14,6 Seasons,"International TV Shows, Reality TV",9.0
2495,TV Show,What Is Love?,Taiwan,Unknown,"Chris Wu, Jade Chou, Duncan Lai, King Chin, Kimi Hsia, Gina Lim",2012,"January 1, 2017",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",9.0
275,TV Show,Sweet Tooth,United States,Unknown,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",2021,"June 4, 2021",TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",8.9
1152,TV Show,Daybreak,United States,Unknown,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick",2019,"October 24, 2019",TV-MA,1 Season,"TV Action & Adventure, TV Comedies, TV Horror",8.8
