,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
1064,TV Show,DOM,BR,Unknown,"Gabriel Leone, Flávio Tolezani, Filipe Bragança, Laila Garin, Wilson Rabelo, Fábio Lago, Mariana Cerrone, Raquel Villar, Isabella Santoni, Ramon Francisco, Digão Ribeiro",2021,NR,1 Season,Drama,10.0
98,TV Show,The World Wars,US,Unknown,Unknown,2014,TV-14,1 Season,Special Interest,10.0
377,TV Show,Pocket.watch Onyx Family Ultimate mishmash,GB,Unknown,"Mirthell Mitchell, Rita Mitchell, Shalom Mitchell, Sinead Mitchell, Sade Mitchell, Shiloh Mitchell",2020,TV-Y7,1 Season,Kids,10.0
1264,TV Show,Pete the Cat,Unknown,Unknown,"Jacob Tremblay, Jeff “Swampy” Marsh, KT Tunstall, Don Was, Alyson Stoner, Atticus Shaffer, Indie Nameth, Juliet Donenfeld, Felix Avitia, Jessica Biel, Rhys Darby, Pamela Adlon, Fred Tatasciore, Diedrich Bader, Jesse Tyler Ferguson, Jim Parsons, Tom Freund",2021,ALL,8 Seasons,Kids,10.0
1369,TV Show,Act 6 - Series 2,CN,Unknown,1,2021,ALL,1 Season,TV Shows,10.0
1373,TV Show,ACT 2 - Series 6,CN,Unknown,1,2021,ALL,1 Season,TV Shows,10.0
1066,TV Show,Baywatch Hawaii,US,Unknown,"Jason Momoa, Stacy Kamano, Michael Bergin, Brande Roderick, Charlie Brumbly, Krista Allen, Jason Brooks",2001,TV-PG,2 Seasons,TV Shows,10.0
319,TV Show,Rob Delaney: Jackie,US,Unknown,Rob Delaney,2020,18+,1 Season,"Arts, Entertainment, and Culture, Comedy",10.0
1378,TV Show,AWS DeepRacer TV,IT,Unknown,Blaine Sundrud,2019,ALL,1 Season,"Documentary, Special Interest",10.0
317,TV Show,Rolie Polie Olie,CA,Unknown,"Cole Caplan, Adrian Truss, Kristen Bone, Catherine Disher",1998,TV-Y,1 Season,"Animation, Kids",10.0
602,TV Show,"I, Caesar: The Rise and Fall of the Roman Empire",US,Unknown,Unknown,1997,18+,1 Season,"Documentary, Special Interest",10.0
1063,TV Show,Steve and Maggie - Giggles Galore,CN,Unknown,"Steve, Maggie",2021,ALL,1 Season,"Animation, Kids",10.0
645,TV Show,Ground Force Revisited,US,Unknown,"Tommy Walsh, Charle Dimmock, Will Shanahan, Kirsty King",2004,7+,1 Season,"Special Interest, Unscripted",10.0
315,TV Show,"Ronja, the Robber's Daughter",JP,Unknown,"Gillian Anderson, Theresa Gallagher",2017,7+,1 Season,"Anime, Kids",10.0
1158,TV Show,The Incredible Stories of Bimi Boo and Friends,CA,Unknown,"Marlies Dubois, Steven Marriott, Ken Ruffelle, Karilynne Davies, Michelle Weisbom, Steven Marriot, Angela Gooliaff, Emily Kate, Will Wood, Leon De Luna",2021,TV-G,1 Season,"Action, Kids",9.5
1180,TV Show,Socially Distanced,US,Unknown,"Jeff Willy, Kirsten Trammell, Priya Gopalan, Levi Connelly, Babak Shahrokh, Anne Schreiber, Susan G. Carter, Benjamin Mumford-Zisk, Altin Axel, Celina C. Goetti, Eleanor Repass, Elizabeth Lawson, Daniel Neri, Rachel Patchett, Maegan Gephart, Jennifer Cramer, Teresa Hunt",2020,16+,1 Season,"Comedy, Drama",9.0
677,TV Show,Gangstars (Telugu),GB,Unknown,"Jagapati Babu, Navdeep, Sidhu, Swetha Basu Prasad, Sivaji, Apoorva Arora, Aiswarya, Krishna Bhagwan, Dhanraj, Posani",2018,18+,1 Season,International,9.0
1179,TV Show,Tooth & Claw,US,Unknown,Tooth & Claw Field Staff,2020,13+,1 Season,"Action, Adventure, Sports",9.0
31,TV Show,Wild Boys,AU,Unknown,"Daniel MacPherson, Michael Dorman, Alexander England, Zoe Ventoura, Anna Hutchison, Jeremy Sims, Nathaniel Dean, David Field, Caroline Brazier, Krew Boylan",2011,13+,1 Season,"Drama, Western",9.0
1156,TV Show,The Times Table Adventure,CA,Unknown,Unknown,2011,7+,1 Season,"Animation, Kids",9.0
1157,TV Show,Braceface,CA,Unknown,"Alicia Silverstone, Michael Cera, Marnie McPhail, Brooke D'Orsay",2004,TV-Y,4 Seasons,"Animation, Comedy, Kids",9.0
